session,ticker,contract,ticket,cautious,entry_spread,exit_spread,thesis_state,return_quoted,return_timed,return_mid
2026-09-14,BHVN,BHVN261016C00013000,False,-0.40418,0.4347826086956521,0.6285714285714284,STOP,-0.5714285714285714,-0.3530612244897958,-0.23913043478260865
2026-09-14,ROST,ROST261002C00230000,False,-0.64031,0.7636363636363636,0.2184873949579832,STOP,-0.6513157894736843,-0.5305872756933117,-0.4590909090909091
2026-09-14,PLAB,PLAB261016C00025000,False,-0.228755,0.22608695652173924,0.2857142857142858,STOP,-0.2500000000000002,-0.09840201850294383,-0.026086956521739202
2026-09-14,CLX,CLX261016C00090000,False,-0.470546,0.09230769230769226,0.14285714285714282,STOP,-0.6176470588235294,-0.5842185128983308,-0.5692307692307692
2026-09-14,CCL,CCL261002C00022500,False,-0.418303,0.2222222222222222,0.5699481865284974,STOP,-0.42500000000000016,-0.20922939068100366,-0.10648148148148162
2026-09-14,KOD,KOD261016C00035000,False,-0.315496,0.2894736842105262,0.24836601307189535,STOP,-0.2298850574712642,-0.07124842370744,0.00657894736842124
2026-09-14,SM,SM261016P00040000,False,-0.21311,0.13084112149532715,0.3684210526315789,STOP,-0.45614035087719296,-0.3418881759853346,-0.28971962616822433
2026-09-14,NCLH,NCLH261002C00015000,False,-0.629229,0.6666666666666667,0.5168539325842697,STOP,-0.4677419354838709,-0.19745845552297137,-0.043010752688171894
2026-09-14,AEIS,AEIS261016C00260000,False,-0.155484,0.11111111111111113,0.30388692579505305,STOP,-0.29824561403508776,-0.1800242865816637,-0.12654320987654333
2026-09-14,ERAS,ERAS261016C00017500,False,-0.791411,0.9714285714285715,0.9090909090909092,STOP,-0.826923076923077,-0.644638403990025,-0.5285714285714286
2026-09-14,CRDO,CRDO261002C00152500,False,-0.191936,0.11904761904761904,0.27160493827160487,TARGET,-0.2134831460674158,-0.09122807017543877,-0.03571428571428581
2026-09-14,CSIQ,CSIQ261002C00013000,False,-0.567419,0.47058823529411764,0.6666666666666667,STOP,-0.8571428571428572,-0.7774725274725275,-0.7352941176470589
2026-09-14,ROAD,ROAD261016C00100000,False,-0.283455,0.07594936708860756,0.0495867768595041,STOP,-0.2804878048780487,-0.24843554443053806,-0.23417721518987322
2026-09-14,DCI,DCI261016C00085000,False,-0.464769,0.5858585858585859,0.5882352941176471,STOP,-0.53125,-0.2804085422469823,-0.14141414141414144
2026-09-14,COIN,COIN261002P00200000,False,-0.186016,0.09077598828696928,0.08666666666666671,TARGET,0.6078431372549018,0.7108190091001005,0.7569546120058561
2026-09-14,TK,TK261016P00014000,False,-0.800076,1.4666666666666668,0.47619047619047616,STOP,-0.3846153846153846,0.06557377049180335,0.40000000000000013
2026-09-14,PD,PD261016P00015000,False,-0.549453,0.72,0.56,STOP,-0.47058823529411764,-0.1732851985559567,0.0
2026-09-14,COMP,COMP261016C00011000,False,-0.483507,0.1666666666666666,0.11764705882352937,STOP,-0.3846153846153847,-0.32113821138211385,-0.29166666666666674
2026-09-14,WHR,WHR261016C00035000,False,-0.097996,0.11111111111111109,0.1694915254237288,STOP,-0.2894736842105262,-0.21448087431693985,-0.18055555555555547
2026-09-14,HPP,HPP261016C00012500,False,-0.558497,0.6666666666666666,1.3103448275862069,STOP,-0.7222222222222222,-0.2154882154882155,0.07407407407407396
2026-09-14,XRAY,XRAY261016C00010000,False,-0.25987,0.25000000000000006,0.3999999999999999,STOP,-0.5555555555555556,-0.4337349397590362,-0.375
2026-09-14,FBIN,FBIN261016C00040000,False,-0.740962,0.9158878504672898,1.1666666666666667,STOP,-0.7435897435897436,-0.3492193919474117,-0.10280373831775702
2026-09-14,LIF,LIF261016C00045000,False,-0.492743,0.6352941176470588,0.29787234042553196,STOP,-0.6428571428571428,-0.5177228786251342,-0.44705882352941173
2026-09-14,KRMN,KRMN261016C00035000,False,-0.589056,0.7301587301587301,0.5154639175257731,TARGET,-0.16279069767441867,0.2804005722460656,0.5396825396825395
2026-09-14,FND,FND261016C00047500,False,-0.646306,0.6086956521739131,1.288888888888889,STOP,-0.8222222222222223,-0.5179282868525896,-0.34782608695652173
2026-09-14,RMBS,RMBS261016C00080000,False,-0.231692,0.20689655172413793,0.2035928143712574,TARGET,0.171875,0.353678929765886,0.4396551724137929
2026-09-14,AIP,AIP261016C00022500,False,-0.709957,1.0000000000000002,0.4489795918367347,STOP,-0.5476190476190477,-0.2903726708074533,-0.12499999999999989
2026-09-14,POWL,POWL261016C00175000,False,-0.221034,0.15228426395939088,0.3661971830985916,TARGET,0.09433962264150919,0.33200992555831266,0.4416243654822334
2026-09-14,MKSI,MKSI261016C00240000,False,-0.216827,0.2006079027355623,0.30508474576271183,STOP,-0.4475138121546962,-0.3354971968132193,-0.2826747720364743
2026-09-14,CRI,CRI261016C00030000,False,-0.228186,0.21686746987951794,0.6440677966101694,STOP,-0.5652173913043478,-0.3780630105017503,-0.28915662650602414
2026-09-14,CTRI,CTRI261016C00020000,False,-0.631849,0.8292682926829269,0.4827586206896551,STOP,-0.6206896551724137,-0.41648590021691956,-0.2926829268292681
2026-09-14,SARO,SARO261016C00022500,False,-0.364606,0.43037974683544294,0.8571428571428572,STOP,-0.625,-0.34720570749108204,-0.20253164556962033
2026-09-14,CRS,CRS261016C00420000,False,-0.271574,0.2551440329218107,0.21077283372365338,STOP,-0.302919708029197,-0.1805390408244153,-0.12139917695473235
2026-09-14,AMAT,AMAT261002C00430000,False,-0.280386,0.22093023255813954,0.1855670103092784,STOP,-0.3089005235602095,-0.2039954980303884,-0.15406976744186052
2026-09-14,CRGY,CRGY261016P00015000,False,-0.42749,0.37837837837837845,0.3076923076923076,STOP,-0.5,-0.36572890025575455,-0.29729729729729726
2026-09-14,PZZA,PZZA261016C00022500,False,-0.598543,0.5,0.26086956521739135,STOP,-0.6000000000000001,-0.486046511627907,-0.42500000000000004
2026-09-14,RRX,RRX261016C00155000,False,-0.137632,0.09395973154362419,0.18181818181818185,STOP,-0.23076923076923062,-0.15023163467902045,-0.11409395973154357
2026-09-14,PEGA,PEGA261016P00040000,False,-0.296631,0.29457364341085274,0.31111111111111106,TARGET,-0.22972972972972971,-0.04454342984409798,0.046511627906976605
2026-09-14,FUL,FUL261016C00050000,False,-0.428472,0.5161290322580646,1.4385964912280702,STOP,-0.7948717948717949,-0.33083832335329344,-0.0806451612903224
2026-09-14,EYE,EYE261016C00017500,False,-0.822118,1.024390243902439,1.7499999999999998,STOP,-0.9677419354838709,-0.7505285412262156,-0.6097560975609755
2026-09-14,MTDR,MTDR261016P00062500,False,-0.306519,0.18181818181818185,0.2692307692307693,STOP,-0.3749999999999999,-0.2640117994100294,-0.21212121212121204
2026-09-14,OKTA,OKTA261002P00190000,False,-0.182132,0.12636165577342043,0.13612565445026165,STOP,-0.27049180327868827,-0.19991447509087013,-0.16775599128540297
2026-09-14,TNL,TNL261016C00065000,False,-0.575831,0.6206896551724137,0.7889908256880734,STOP,-0.5657894736842106,-0.24211356466876977,-0.06034482758620696
2026-09-14,ALGN,ALGN261002C00152500,False,-0.600164,1.279503105590062,0.45669291338582674,STOP,-0.6287878787878787,-0.38353309015112025,-0.21118012422360244
2026-09-14,LTBR,LTBR261016C00007500,False,-0.178905,0.13333333333333344,0.9090909090909091,STOP,-0.625,-0.3790849673202614,-0.2666666666666666
2026-09-14,REAL,REAL261016C00010000,False,-0.561037,0.3749999999999999,0.6086956521739131,STOP,-0.5789473684210527,-0.3816568047337279,-0.2812500000000001
2026-09-14,NKE,NKE261002C00037000,False,-0.234604,0.07692307692307687,0.1305841924398625,STOP,-0.28042328042328024,-0.2251493753394892,-0.2005494505494504
2026-09-14,PNC,PNC261002C00242500,False,-0.531815,0.46153846153846145,2.0,STOP,,-0.762589928057554,-0.6373626373626373
2026-09-14,FN,FN261016C00380000,False,-0.176646,0.1416234887737479,0.14799154334038056,STOP,-0.2935483870967742,-0.2178251310671402,-0.18307426597582044
2026-09-14,ALGM,ALGM261016C00035000,False,-0.550048,0.5238095238095237,0.24242424242424251,STOP,-0.4528301886792454,-0.29801324503311266,-0.2142857142857144
2026-09-14,MTZ,MTZ261016C00230000,False,-0.190685,0.14232209737827717,0.2555066079295154,STOP,-0.3076923076923076,-0.19948661532819956,-0.14981273408239704
2026-09-14,FERG,FERG261016C00220000,False,-0.358236,0.23913043478260884,0.7610619469026548,STOP,-0.6601941747572815,-0.4748163693599159,-0.38586956521739124
2026-09-14,STM,STM261002C00048000,False,-0.329722,0.32258064516129037,0.33333333333333337,TARGET,-0.44444444444444453,-0.29846153846153844,-0.22580645161290325
2026-09-14,DECK,DECK261002C00081000,False,-0.336824,0.2736842105263159,0.4262295081967214,STOP,-0.5555555555555557,-0.4226491405460061,-0.35789473684210527
2026-09-14,CRCL,CRCL261002P00100000,False,-0.248339,0.09742120343839536,0.1512605042016806,TARGET,1.1038251366120213,1.299068059870093,1.3868194842406871
2026-09-14,ALK,ALK261016C00040000,False,-0.247615,0.06666666666666672,0.26086956521739135,STOP,-0.3548387096774195,-0.2706270627062707,-0.2333333333333334
2026-09-14,LEU,LEU261016C00145000,False,-0.208434,0.18181818181818182,0.17647058823529402,STOP,-0.38,-0.2969911504424779,-0.2581818181818182
2026-09-14,CIEN,CIEN261002C00325000,False,-0.387616,0.2987012987012987,0.21261261261261255,TARGET,0.40112994350282505,0.6696706028589188,0.8019480519480522
2026-09-14,BW,BW261002C00007000,False,-0.516035,0.5185185185185185,1.25,STOP,-0.8235294117647058,-0.5532646048109966,-0.40740740740740744
2026-09-14,POWI,POWI261016C00050000,False,-0.803594,1.2666666666666668,0.8571428571428572,STOP,-0.6734693877551021,-0.3165266106442578,-0.06666666666666676
2026-09-14,DOCU,DOCU261002P00071000,False,-0.434458,0.47727272727272724,0.23030303030303026,STOP,-0.598165137614679,-0.4932131495227997,-0.4375000000000001
2026-09-14,VECO,VECO261016C00041000,False,-0.57837,0.7301587301587301,0.8571428571428572,STOP,-0.5813953488372093,-0.2145922746781116,0.0
2026-09-14,EPAM,EPAM261016P00125000,False,-0.256739,0.1897810218978102,0.28148148148148155,STOP,-0.22666666666666668,-0.08232789212207237,-0.014598540145985384
2026-09-14,JACK,JACK261016C00015000,False,-0.692184,0.8444444444444446,0.28571428571428564,STOP,-0.71875,-0.6035502958579881,-0.5333333333333333
2026-09-14,REZI,REZI260918C00020000,False,,2.0,2.0,STOP,,-0.676923076923077,-0.4
2026-09-14,FLNC,FLNC261016C00010000,False,-0.187033,0.14285714285714282,0.08000000000000007,STOP,-0.20000000000000007,-0.13636363636363646,-0.1071428571428571
2026-09-14,BLSH,BLSH261002P00038500,False,-0.571929,0.4964539007092199,0.38759689922480617,TARGET,0.18181818181818166,0.6039603960396038,0.8297872340425532
2026-09-14,AVGO,AVGO261002C00350000,False,-0.171117,0.0762463343108505,0.0495867768595041,STOP,-0.33333333333333315,-0.30356625108727153,-0.29032258064516114
2026-09-14,AS,AS261002C00028000,False,-0.310708,0.20000000000000007,0.5454545454545453,STOP,-0.6363636363636362,-0.5097087378640777,-0.44999999999999996
2026-09-14,LSCC,LSCC261016C00105000,False,-0.208611,0.19047619047619047,0.28205128205128205,STOP,-0.2717391304347825,-0.13541666666666652,-0.07142857142857117
2026-09-14,DY,DY261016C00290000,False,-0.164059,0.11688311688311692,0.1641791044776119,STOP,-0.245398773006135,-0.16592214422463303,-0.1298701298701299
2026-09-14,TT,TT261016C00430000,False,-0.298697,0.1847389558232931,0.22807017543859648,STOP,-0.2573529411764707,-0.13950762016412677,-0.08433734939759041
2026-09-14,GNRC,GNRC261002C00177500,False,-0.325095,0.2896551724137932,0.29921259842519676,STOP,-0.3493975903614458,-0.19828155981493734,-0.12413793103448278
2026-09-14,LZB,LZB261016C00030000,False,-0.314927,0.23376623376623376,0.5074626865671642,STOP,-0.41860465116279066,-0.2233375156838141,-0.1298701298701298
2026-09-14,UPST,UPST261002C00026500,False,-0.549612,0.5238095238095238,0.6666666666666666,STOP,-0.710691823899371,-0.543046357615894,-0.45238095238095233
2026-09-14,RYN,RYN261016C00020000,False,-0.388989,0.26086956521739135,0.26086956521739135,STOP,-0.23076923076923073,-0.07531380753138062,0.0
2026-09-14,ENS,ENS261016C00170000,False,-0.149531,0.11612903225806445,0.1349693251533742,TARGET,-0.07317073170731714,0.012682308180088642,0.05161290322580636
2026-09-14,CCXI,CCXI261016C00012500,False,-0.130939,0.07407407407407397,0.20689655172413793,STOP,-0.07142857142857117,0.029304029304029422,0.07407407407407418
2026-09-14,IART,IART261016C00015000,False,-0.805725,1.2413793103448274,1.0545454545454547,STOP,-0.723404255319149,-0.32703488372093037,-0.051724137931034586
2026-09-14,FHN,FHN261016C00024000,False,-0.495948,0.36363636363636365,0.3448275862068966,STOP,-0.5384615384615385,-0.4073275862068966,-0.34090909090909094
2026-09-14,MAX,MAX261016C00010000,False,-0.768336,0.98989898989899,0.4761904761904762,STOP,-0.6756756756756757,-0.4854881266490766,-0.36363636363636365
2026-09-14,DXC,DXC261016P00012000,False,-0.381722,0.4,1.125,TARGET,-0.5333333333333332,0.0037735849056603765,0.28
2026-09-14,NRG,NRG261002C00109000,False,-0.274631,0.23655913978494633,0.2285714285714285,STOP,-0.40384615384615397,-0.29802699896157847,-0.24731182795698925
2026-09-14,DPZ,DPZ261016C00320000,False,-0.568839,0.46607669616519165,0.6016260162601625,STOP,-0.5885167464114831,-0.3829611248966086,-0.2743362831858407
