input,kind,horizon,metric,sessions,mean,t,p,years,same_sign_years,yearly,hit_rate,share_positive_label,bh_threshold,fdr_significant,evidence
baseline_past_return_5,NUMERIC,1,ic_raw,199,-0.0515511381496806,-4.699765000026539,4.86927529964453e-06,5,5,"{'2022': -0.0501, '2023': -0.0631, '2024': -0.0215, '2025': -0.087, '2026': -0.0258}",,,0.00026595744680851064,True,ROBUST
pct_from_52w_low,NUMERIC,1,ic_thesis,199,0.022309871956272646,3.7151765765984863,0.0002641014565191312,5,4,"{'2022': -0.0022, '2023': 0.0342, '2024': 0.0252, '2025': 0.0185, '2026': 0.0182}",,,0.0005319148936170213,True,ROBUST
vwap_bias,LABEL,1,mean_signed_bps,199,-7.681260501017663,-3.396305778273945,0.0008253858119088261,5,5,"{'2022': -14.18, '2023': -7.1539, '2024': -4.9415, '2025': -12.2483, '2026': -2.1975}",0.4876720632818517,0.530871132866034,0.000797872340425532,False,NO_EVIDENCE
wyckoff_validation_alternative_phase_probability,NUMERIC,1,ic_thesis,199,0.012363778583449113,2.96902842184582,0.0033563457928212563,5,5,"{'2022': 0.0161, '2023': 0.0185, '2024': 0.0128, '2025': 0.0062, '2026': 0.0098}",,,0.0010638297872340426,False,NO_EVIDENCE
phase_convergence,NUMERIC,1,ic_thesis,199,-0.01571915687912411,-2.845946815958051,0.004894033421421695,5,5,"{'2022': -0.0312, '2023': -0.0121, '2024': -0.0177, '2025': -0.011, '2026': -0.0174}",,,0.0013297872340425532,False,NO_EVIDENCE
baseline_past_return_1,NUMERIC,1,ic_raw,199,-0.03190368788749956,-2.8336023407583726,0.00507929719397733,5,4,"{'2022': -0.0689, '2023': -0.0532, '2024': -0.019, '2025': -0.0472, '2026': 0.0248}",,,0.001595744680851064,False,NO_EVIDENCE
governed_invalidation_spot,NUMERIC,1,ic_thesis,199,-0.015755282462104052,-2.8033548273040614,0.0055605502464943415,5,4,"{'2022': -0.0073, '2023': -0.0247, '2024': -0.0308, '2025': -0.0072, '2026': 0.0038}",,,0.0018617021276595746,False,NO_EVIDENCE
baseline_past_return_20,NUMERIC,1,ic_raw,199,-0.032416319983575505,-2.622380589222137,0.00941082485836304,5,5,"{'2022': -0.0317, '2023': -0.0345, '2024': -0.0115, '2025': -0.0481, '2026': -0.0377}",,,0.002127659574468085,False,NO_EVIDENCE
move_age_bars,NUMERIC,1,ic_raw,199,-0.013521032979974928,-2.622109832121072,0.009418048547812963,5,5,"{'2022': -0.013, '2023': -0.0114, '2024': -0.0186, '2025': -0.0122, '2026': -0.0113}",,,0.0023936170212765957,False,NO_EVIDENCE
atr_pct,NUMERIC,1,ic_thesis,199,0.017343750245351754,2.5041589705994327,0.013081682963923816,5,4,"{'2022': -0.0194, '2023': 0.0224, '2024': 0.0228, '2025': 0.0153, '2026': 0.0238}",,,0.0026595744680851063,False,NO_EVIDENCE
range_pct,NUMERIC,1,ic_raw,199,0.033218024697125904,2.388666225188068,0.01784900304901727,5,4,"{'2022': 0.1153, '2023': 0.0382, '2024': -0.018, '2025': 0.0567, '2026': 0.0252}",,,0.0029255319148936173,False,NO_EVIDENCE
direction,LABEL,1,mean_signed_bps,199,4.409016877677963,2.31881436726431,0.021425599408568845,5,4,"{'2022': -0.7567, '2023': 4.6172, '2024': 4.2645, '2025': 4.7774, '2026': 6.4782}",0.5086948874735738,0.5616516672036239,0.003191489361702128,False,NO_EVIDENCE
discovery_direction_preliminary,LABEL,1,mean_signed_bps,199,4.409016877677963,2.31881436726431,0.021425599408568845,5,4,"{'2022': -0.7567, '2023': 4.6172, '2024': 4.2645, '2025': 4.7774, '2026': 6.4782}",0.5086948874735738,0.5616516672036239,0.0034574468085106385,False,NO_EVIDENCE
wyckoff_validation_alternative_phase_probability,NUMERIC,5,ic_thesis,199,0.009201668086683873,2.3017678814144356,0.022388557648676193,5,4,"{'2022': 0.0136, '2023': 0.0152, '2024': 0.0112, '2025': 0.0082, '2026': -0.0041}",,,0.003723404255319149,False,NO_EVIDENCE
lift_proxy_score,NUMERIC,1,ic_thesis,199,-0.011409518259927132,-2.258895111401099,0.02497978130305085,5,5,"{'2022': -0.0299, '2023': -0.0089, '2024': -0.0014, '2025': -0.0205, '2026': -0.007}",,,0.003989361702127659,False,NO_EVIDENCE
pct_from_52w_low,NUMERIC,1,ic_raw,199,0.030502768153049382,2.161474644683679,0.03185874912709235,5,5,"{'2022': 0.026, '2023': 0.0111, '2024': 0.037, '2025': 0.0334, '2026': 0.0484}",,,0.00425531914893617,False,NO_EVIDENCE
range_pct,NUMERIC,1,ic_thesis,199,0.012851640611352591,2.0504413544336564,0.04163893257700213,5,4,"{'2022': -0.0096, '2023': 0.0199, '2024': 0.0194, '2025': 0.0098, '2026': 0.0083}",,,0.004521276595744681,False,NO_EVIDENCE
atr_pct,NUMERIC,1,ic_raw,199,0.031905133822124156,1.8345352285483927,0.06807520818373047,5,4,"{'2022': 0.1422, '2023': 0.0333, '2024': -0.0254, '2025': 0.0536, '2026': 0.0267}",,,0.0047872340425531915,False,NO_EVIDENCE
abnormal_repricing_score,NUMERIC,1,ic_raw,199,0.011199803941512845,1.8286250180845158,0.06896030212819855,5,3,"{'2022': -0.011, '2023': 0.0157, '2024': -0.004, '2025': 0.012, '2026': 0.0385}",,,0.0050531914893617025,False,NO_EVIDENCE
phase_convergence,NUMERIC,1,ic_raw,199,-0.006655839049340263,-1.784677548762476,0.07584469353844542,5,5,"{'2022': -0.0104, '2023': -0.002, '2024': -0.0055, '2025': -0.0103, '2026': -0.008}",,,0.005319148936170213,False,NO_EVIDENCE
days_in_range,NUMERIC,1,ic_raw,196,0.015973990588234992,1.7726025647308559,0.07785588470829938,5,4,"{'2022': 0.0211, '2023': 0.0387, '2024': -0.0046, '2025': 0.017, '2026': 0.0077}",,,0.005585106382978724,False,NO_EVIDENCE
gap_pct,NUMERIC,1,ic_raw,199,-0.02143581501143667,-1.7592708089585767,0.08007604916078677,5,4,"{'2022': -0.0434, '2023': -0.0266, '2024': -0.0288, '2025': -0.0229, '2026': 0.0121}",,,0.005851063829787235,False,NO_EVIDENCE
days_in_range,NUMERIC,5,ic_raw,196,0.014457078214945731,1.7304082734478046,0.0851393981384681,5,4,"{'2022': -0.0006, '2023': 0.0187, '2024': 0.0063, '2025': 0.0221, '2026': 0.017}",,,0.006117021276595746,False,NO_EVIDENCE
base_conditions_count,NUMERIC,5,ic_thesis,179,-0.01347686091334463,-1.7295554729839118,0.08544326716508932,5,4,"{'2022': 0.0243, '2023': -0.0143, '2024': -0.0202, '2025': -0.0173, '2026': -0.0125}",,,0.006382978723404256,False,NO_EVIDENCE
precor_intent,LABEL,1,mean_signed_bps,199,3.5548805454163346,1.6843704354599585,0.09368575773545992,5,5,"{'2022': 2.6717, '2023': 5.0488, '2024': 1.9817, '2025': 4.1365, '2026': 3.2392}",0.5065612812159683,0.5870813955179217,0.006648936170212766,False,NO_EVIDENCE
