split,horizon,train_events,train_event_dates,train_mean_bps,train_t,train_share_positive,test_events,test_event_dates,test_mean_bps,test_t,test_share_positive,yearly_bps,same_sign_years,median_share_spread_bps,test_p,test_fdr,train_pass,test_pass,years_pass,economic_10d,passes
ALL,5,4641,557,19.85423644040591,1.5206750144956045,0.5104503339797457,3696,386,-30.74454802711383,-1.7251902389724778,0.48295454545454547,"{'2022': 63.4, '2023': 26.4, '2024': 9.4, '2025': -14.0, '2026': -60.3}",3,15.228904023140986,0.08449319419549096,False,False,False,False,False,False
ALL,10,4641,557,33.29162290176503,1.8978464362007341,0.5192846369316958,3696,386,-58.271892207380624,-2.501965972164123,0.46726190476190477,"{'2022': 68.3, '2023': 51.6, '2024': 16.1, '2025': -48.0, '2026': -76.5}",3,15.228904023140986,0.012350579486180761,True,False,False,False,False,False
ALL,20,4641,557,41.50073458825112,2.1398226646557617,0.5063563887093299,3696,386,-50.425855747503,-1.962322281839134,0.49107142857142855,"{'2022': 81.5, '2023': 62.6, '2024': 21.7, '2025': -50.3, '2026': -50.6}",3,15.228904023140986,0.049724974652364376,False,False,False,False,False,False
UP,5,2421,485,20.060704404920692,1.0242278564592326,0.5014456836018174,1914,356,-62.98648589482176,-2.8721983528777826,0.46029258098223613,"{'2022': 120.6, '2023': 28.7, '2024': 3.0, '2025': -44.7, '2026': -94.0}",3,21.85415038190533,0.004076270255210024,True,False,False,False,False,False
UP,10,2421,485,45.869770534999034,1.7269943642108676,0.5324246179264767,1914,356,-104.62151000682768,-3.4595002378922453,0.4399164054336468,"{'2022': 99.9, '2023': 66.5, '2024': 27.0, '2025': -92.6, '2026': -125.1}",3,21.85415038190533,0.0005411787992517707,True,False,False,False,False,False
UP,20,2421,485,46.7607859953298,1.4615988991116784,0.5097067327550598,1914,356,-79.62143326061012,-1.9431531297760067,0.47074190177638453,"{'2022': 236.1, '2023': 95.3, '2024': -4.9, '2025': -79.8, '2026': -79.4}",2,21.85415038190533,0.05199765923345865,False,False,False,False,False,False
DOWN,5,2220,477,19.62933716075409,1.165340435607631,0.5202702702702703,1782,329,3.8340246635909225,0.14087093221779462,0.5072951739618407,"{'2022': 13.2, '2023': 24.2, '2024': 17.2, '2025': 18.0, '2026': -22.3}",4,7.009026826894061,0.8879719058477025,False,False,False,True,False,False
DOWN,10,2220,477,19.595795934409647,1.0286524623977074,0.5049549549549549,1782,329,-8.507313816410761,-0.22657559332827906,0.49663299663299665,"{'2022': 40.6, '2023': 37.1, '2024': 2.8, '2025': -1.4, '2026': -21.6}",3,7.009026826894061,0.8207537724508221,False,False,False,False,False,False
DOWN,20,2220,477,35.77544397729725,1.5022677437728187,0.5027027027027027,1782,329,-19.07798748919778,-0.5656204192407513,0.5129068462401796,"{'2022': -54.2, '2023': 31.0, '2024': 54.0, '2025': -19.6, '2026': -18.1}",2,7.009026826894061,0.5716518439514582,False,False,False,False,False,False
HELD,5,2442,489,24.01083980039039,1.4157755563719714,0.5143325143325144,1921,354,-32.09572747779778,-1.1714571308403345,0.48047891723060904,"{'2022': 21.6, '2023': 0.7, '2024': 40.1, '2025': -14.0, '2026': -66.1}",3,22.94882662578727,0.24141507969866294,False,False,False,False,False,False
HELD,10,2442,489,45.612577624387285,2.353044391701478,0.527027027027027,1921,354,-50.87373108914377,-1.4105273114030608,0.46434148880791254,"{'2022': 60.9, '2023': 42.7, '2024': 45.2, '2025': -39.4, '2026': -72.5}",3,22.94882662578727,0.15838403784948007,False,False,False,False,False,False
HELD,20,2442,489,56.371014506938415,2.1710859876051876,0.5114660114660114,1921,354,-37.372516413228354,-1.0398566689493645,0.4971369078604893,"{'2022': 61.2, '2023': 73.6, '2024': 44.1, '2025': -39.0, '2026': -34.3}",3,22.94882662578727,0.2984064963726315,False,False,False,False,False,False
FADED,5,2199,482,15.231578191380311,0.7707461950251397,0.5061391541609823,1775,352,-29.282803666526277,-1.348059222621838,0.4856338028169014,"{'2022': 121.4, '2023': 54.1, '2024': -24.4, '2025': -14.0, '2026': -54.5}",2,0.0,0.1776393354014516,False,False,False,False,False,False
FADED,10,2199,482,19.582312423445828,0.6837801356401915,0.5106866757617099,1775,352,-66.27577515630317,-2.342330975204067,0.4704225352112676,"{'2022': 78.5, '2023': 61.1, '2024': -16.0, '2025': -57.7, '2026': -80.4}",2,0.0,0.019163712047439118,True,False,False,False,False,False
FADED,20,2199,482,24.9465142952102,0.9458225967032658,0.5006821282401092,1775,352,-64.5485364396702,-1.7459035735093995,0.48450704225352115,"{'2022': 109.6, '2023': 50.8, '2024': -3.0, '2025': -63.3, '2026': -66.7}",2,0.0,0.08082770883468361,False,False,False,False,False,False
