signal,horizon,expected_sign,dates,first_date,last_date,median_names,ic,t,expected_sign_share,first_half_ic,second_half_ic,partial_ic,partial_t,top_bottom_net,median_share_spread,p,fdr,expected_sign_and_t,stable_halves,not_reversal,economic_10d,exploratory_pass
O1,5,-1,116,2024-06-28,2026-09-09,808,0.002070347871462208,0.2835609953218885,0.5172413793103449,0.002943879487955151,0.0011968162549692708,0.0004249010921615234,0.05993151308177813,-0.0018918614375608859,0.0032032101354258257,0.7767468318115653,False,False,False,False,False,False
O1,10,-1,111,2024-06-28,2026-09-01,804,0.0033120971483858535,0.3549824770137073,0.5045045045045045,0.00622960079329976,0.00044669178284540166,0.0002650244123706679,0.02967215883725921,-0.0019795255266256426,0.0030508007749796557,0.7226027187787373,False,False,False,False,False,False
O1,20,-1,107,2024-06-28,2026-08-14,802,4.7808386767627243e-05,0.00394026212715528,0.5046728971962616,-0.002564453545657492,0.002611695098221916,-0.0008624045751349426,-0.07297739038720773,-0.0019283591088613567,0.002942884928179853,0.9968561338183312,False,False,False,False,False,False
O2,5,1,116,2024-06-28,2026-09-09,1079,0.009724877092365029,2.1154013626527846,0.6206896551724138,0.011980700177697704,0.007469054007032351,0.008806912325962734,1.900255088462163,0.0014305648887717906,0.0036033139598618843,0.03439575376251434,True,True,True,False,False,False
O2,10,1,111,2024-06-28,2026-09-01,1072,0.014923776419288654,2.654106736125305,0.6126126126126126,0.016168983085253223,0.013700805586644885,0.015112960148764181,2.936655660522108,0.002601765414009965,0.0034333532126093608,0.007951866943767405,True,True,True,True,False,True
O2,20,1,107,2024-06-28,2026-08-14,1071,0.01788512387933948,2.724118895560079,0.6542056074766355,0.01910482844666895,0.01668800643362722,0.017234277952173742,2.773868000075505,0.005164727076138172,0.003293244624522358,0.006447329170864327,True,True,True,True,False,True
O3,5,-1,116,2024-06-28,2026-09-09,1072,-0.004446780613752321,-0.6084516347932514,0.5431034482758621,0.0006359532491863753,-0.00952951447669102,-0.005091795433766959,-0.7224439186875956,0.00012003470478996284,0.0037925970079414535,0.5428879742619859,False,False,False,False,False,False
O3,10,-1,111,2024-06-28,2026-09-01,1070,-0.006816515106064886,-0.8397158280190236,0.5315315315315315,-0.010093945038547141,-0.0035976107080912373,-0.004916244468997265,-0.6447836988089201,7.087900268163337e-05,0.0036827474447171443,0.4010677372490249,False,False,True,False,False,False
O3,20,-1,107,2024-06-28,2026-08-14,1065,-0.010783968303575529,-0.9117673861404335,0.514018691588785,-0.025290475352349438,0.0034538997257766413,-0.008444706414938276,-0.7731960256809051,0.0008273700032870327,0.003463531626428411,0.36189118222435845,False,False,False,False,False,False
O4,5,-1,116,2024-06-28,2026-09-09,1302,-0.00832817638697832,-2.2960071821513366,0.5517241379310345,-0.005890030546844394,-0.010766322227112251,-0.007964514132392827,-2.2036265507160318,-0.002252419397932583,0.0037492437633983968,0.02167547072373772,True,True,True,True,False,True
O4,10,-1,111,2024-06-28,2026-09-01,1300,-0.014594933371929396,-3.3118115983424694,0.6486486486486487,-0.007368953341828102,-0.02169187804435031,-0.013450382104484447,-2.996956483921402,-0.005157411658080157,0.0037073328698222167,0.0009269394777824657,True,True,True,True,True,True
O4,20,-1,107,2024-06-28,2026-08-14,1297,-0.016626054834683355,-3.3931410040677363,0.6915887850467289,-0.007068709094294842,-0.0260064126909906,-0.016355146539267684,-3.283733478158914,-0.009339108490953756,0.0034477691431430623,0.0006909606107544675,True,True,True,True,False,True
O5,5,-1,104,2024-06-28,2026-08-28,951,0.005739309283826599,0.8217330410580962,0.4519230769230769,0.012068077234859973,-0.0005894586672067751,0.005171019132028804,0.825892457850641,0.00045411754919160325,0.0031614540774654145,0.41122884990004793,False,False,False,False,False,False
O5,10,-1,104,2024-06-28,2026-08-28,951,0.0017422326584605537,0.23535422364275038,0.47115384615384615,0.0040572226748878774,-0.0005727573579667725,0.0014561074930684774,0.20804781682107784,-0.001437435346216533,0.0031614540774654145,0.8139338124421482,False,False,False,False,False,False
O5,20,-1,102,2024-06-28,2026-08-14,947,0.0038780784051564835,0.517332616298535,0.47058823529411764,0.005778514800139322,0.0019776420101736427,0.0010177095093828296,0.15045632543486498,-0.0030172127863565402,0.0031316345585918675,0.6049239893215732,False,False,False,False,False,False
