signal,horizon,expected_sign,train_dates,train_ic,train_t,train_positive_share,train_partial_ic,train_partial_t,train_top_bottom_net,train_median_share_spread,test_dates,test_ic,test_t,test_positive_share,test_partial_ic,test_partial_t,test_top_bottom_net,test_median_share_spread,yearly_ic,same_sign_years,years,test_p,test_fdr,c1_train,c2_test,c3_years,c4_economic,c5_not_reversal,passes_1_to_3_and_5
H1,5,1,117,0.015259970557374181,1.2037815955431137,0.5042735042735043,,,0.00268752836204715,0.0,82,8.599924559424808e-05,0.005552022341321702,0.5,,,0.0014004549375803194,0.003191802816860243,"{'2022': 0.0482, '2023': 0.0096, '2024': 0.0097, '2025': -0.0017, '2026': 0.0028}",4,5,0.9955701498509583,False,False,False,True,False,True,False
H1,10,1,117,0.009357382404902956,0.8403675852483911,0.5470085470085471,,,0.0017175948308963919,0.0,82,0.015162607580002561,0.9513543026528448,0.524390243902439,,,0.003341372909705569,0.003191802816860243,"{'2022': 0.046, '2023': 0.0008, '2024': 0.0055, '2025': 0.0244, '2026': 0.0008}",5,5,0.3414245496088608,False,False,False,True,True,True,False
H1,20,1,117,0.008185287968408972,0.7827092786903712,0.5299145299145299,,,0.002141664166996138,0.0,82,0.010086263121163518,0.8449167453032158,0.5121951219512195,,,0.003847137424052044,0.003191802816860243,"{'2022': 0.0281, '2023': 0.0032, '2024': 0.0064, '2025': 0.015, '2026': 0.0024}",5,5,0.3981573243308746,False,False,False,True,False,True,False
H10,5,1,117,0.016128229362651642,0.7773327319732504,0.5128205128205128,0.01712207001661407,0.8663614411389022,4.9102132366563774e-05,0.0009236570003958303,82,-0.017262092875460402,-0.7024774724570519,0.43902439024390244,-0.019543541744885554,-0.8462111209273235,-0.0020418499221146083,0.00309299545269318,"{'2022': 0.0511, '2023': 0.0009, '2024': 0.0194, '2025': -0.0296, '2026': 0.002}",4,5,0.4823814458143689,False,False,False,True,False,False,False
H10,10,1,117,0.01600179365476458,0.6808954012521228,0.5299145299145299,0.016859049553588808,0.7600534647312552,0.0007755010481406122,0.000731384173692362,82,-0.023022739958156267,-0.7946182844401258,0.47560975609756095,-0.026869753720557648,-0.9779639229387491,-0.00439076566786149,0.0031075030998195265,"{'2022': 0.0562, '2023': -0.003, '2024': 0.0213, '2025': -0.0438, '2026': 0.0095}",3,5,0.42683557902142677,False,False,False,False,False,False,False
H10,20,1,117,0.018609914677052655,0.6854482946898313,0.5982905982905983,0.021343570229594606,0.8561373543530827,0.0014264785517377192,0.000731384173692362,82,-0.030943385279404465,-0.8081332546779342,0.43902439024390244,-0.027181103053336955,-0.7319570149565126,-0.009204905351507817,0.003071928454677674,"{'2022': 0.0103, '2023': 0.0111, '2024': 0.029, '2025': -0.0534, '2026': 0.0041}",4,5,0.4190138757550288,False,False,False,True,False,False,False
H11,5,1,117,0.023749161878012133,1.4762237026655018,0.5555555555555556,0.025402200672730954,1.6535575024390408,0.0014229737223640233,0.0,82,-0.006390828194564496,-0.3174903824780919,0.45121951219512196,-0.007967595680344759,-0.4149025652771983,-0.0006233526577515375,0.0035205640577519455,"{'2022': 0.0549, '2023': 0.0144, '2024': 0.0225, '2025': -0.0144, '2026': 0.0061}",4,5,0.7508715359640509,False,False,False,True,False,False,False
H11,10,1,117,0.02550114418616949,1.4029920175824144,0.5555555555555556,0.025892855064489243,1.4994663241561552,0.003314627014262018,0.0,82,-0.008320456117538705,-0.3466597947583645,0.47560975609756095,-0.011972700344495303,-0.5259984629505069,-0.0015899340503684547,0.0035205640577519455,"{'2022': 0.0649, '2023': 0.0152, '2024': 0.0224, '2025': -0.0222, '2026': 0.0133}",4,5,0.728846918392832,False,False,False,True,False,False,False
H11,20,1,117,0.03269629301000105,1.6118782903464965,0.5982905982905983,0.03417899021079205,1.8324012538378562,0.006949504041660551,0.0,82,-0.014214891088577744,-0.481260789181619,0.4146341463414634,-0.011680995498157671,-0.4100915867344901,-0.004637529549147368,0.0035205640577519455,"{'2022': 0.0399, '2023': 0.033, '2024': 0.0299, '2025': -0.0272, '2026': 0.0061}",4,5,0.6303311613561746,False,False,False,True,False,False,False
H12,5,1,117,0.0029552414736359624,0.210122811852723,0.5384615384615384,0.005092630560980833,0.3766811774761204,-6.0422991104717554e-05,0.0,82,0.004247497603440853,0.2531641269457696,0.524390243902439,0.004086565680583716,0.2479093960146097,0.00046746286187608166,0.0016960829450384165,"{'2022': 0.0135, '2023': -0.0121, '2024': 0.0144, '2025': 0.0029, '2026': 0.0064}",4,5,0.8001413862459223,False,False,False,True,False,False,False
