ticker,jump10x,sub_cent,gap20,bars,first,last,last_10x_jump
ADAPY,True,True,False,63,2026-02-23,2026-05-21,2026-05-11
AEEI,False,True,False,1,2023-10-13,2023-10-13,
ALUR,False,False,True,36,2026-05-26,2026-09-16,
ASRE,False,True,False,4,2026-05-26,2026-06-12,
B,False,False,True,1200,2021-08-23,2026-09-16,
BHVN,True,False,False,1272,2021-08-23,2026-09-16,2022-10-04
BLSP,True,True,False,62,2026-02-17,2026-05-15,2026-04-23
CCXI,False,False,True,429,2021-08-23,2026-09-16,
CHNGQ,True,True,True,5,2026-02-18,2026-05-14,2026-05-14
CLIRF,True,True,True,9,2023-09-29,2024-10-23,2023-12-20
CNER,False,True,True,19,2026-02-17,2026-05-14,
CNR,False,False,True,648,2021-08-25,2026-09-16,
COHR,False,False,True,1225,2021-08-23,2026-09-16,
COR,False,False,True,852,2021-08-23,2026-09-16,
CORZ,True,False,True,903,2022-01-20,2026-09-16,2024-01-24
DYNA,False,True,False,27,2026-05-26,2026-09-03,
FIG,False,False,True,1042,2022-05-17,2026-09-16,
FISV,False,False,True,662,2021-08-23,2026-09-16,
FNEC,False,False,True,2,2026-03-03,2026-04-01,
GOLD,False,False,True,1120,2021-09-07,2026-09-16,
GOSS,True,False,False,79,2026-05-26,2026-09-16,2026-06-15
HHH,False,False,True,960,2021-10-20,2026-09-16,
IBIT,False,False,True,834,2022-09-08,2026-09-16,
JMTM,False,False,True,25,2024-02-16,2025-02-28,
LION,False,False,True,773,2021-12-09,2026-09-16,
MCAP,False,False,True,9,2026-06-01,2026-09-09,
NCEN,True,True,True,4,2025-12-08,2026-02-02,2025-12-30
NFE,True,False,False,78,2026-05-26,2026-09-16,2026-06-16
OPTT,True,False,False,79,2026-05-26,2026-09-16,2026-06-16
OST,True,False,False,512,2023-08-28,2025-09-12,2025-06-26
PPWLO,False,False,True,56,2023-08-29,2025-01-02,
PSPW,False,True,False,1,2026-05-26,2026-05-26,
PSWW,True,True,False,56,2026-05-26,2026-09-16,2026-09-04
PWCO,False,True,False,2,2026-07-28,2026-08-12,
RENN,True,False,False,368,2022-01-03,2023-06-21,2022-12-22
SAIL,False,False,True,646,2021-08-23,2026-09-16,
SINX,True,True,False,9,2026-05-26,2026-09-02,2026-06-12
SOLS,True,True,True,565,2021-12-31,2026-09-16,2025-10-30
SOPV,False,True,False,1,2026-05-14,2026-05-14,
TRITF,False,True,False,1,2026-04-07,2026-04-07,
UCAR,True,False,False,79,2026-05-26,2026-09-16,2026-06-11
UELMO,False,False,True,2,2026-03-31,2026-05-07,
VG,False,False,True,642,2021-08-23,2026-09-16,
VIA,False,False,True,961,2021-08-23,2026-09-16,
WOLF,True,False,False,1243,2021-10-04,2026-09-16,2025-09-29
WWPW,False,True,False,4,2026-07-06,2026-09-03,
ZHYLF,False,True,True,2,2025-06-27,2025-09-10,
