             label  h         iv direction    n  sessions     b_F  se_F_hc1  t_F_hc1  p_F_hc1  t_F_cl_ticker    b_IV  t_IV_hc1  frac_sessions_bF_pos  frac_sessions_tF_gt2              power
session:2026-07-22  5  IV_surf_5    POOLED  396       1.0  0.3070    0.2501   1.2272   0.2197         1.2272  1.0636    3.6280                   NaN                   NaN                 OK
session:2026-07-30  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-03  5  IV_surf_5    POOLED  401       1.0  0.2484    0.1117   2.2229   0.0262         2.2229  0.3834    3.4281                   NaN                   NaN                 OK
session:2026-08-07  5  IV_surf_5    POOLED  400       1.0  0.1548    0.1137   1.3618   0.1733         1.3618  0.2430    2.5380                   NaN                   NaN                 OK
session:2026-08-13  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-17  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-19  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-20  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-21  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-28  5  IV_surf_5    POOLED  382       1.0  0.0007    0.0793   0.0086   0.9932         0.0086  0.5352    4.5848                   NaN                   NaN                 OK
session:2026-08-31  5  IV_surf_5    POOLED  400       1.0  0.1589    0.1000   1.5889   0.1121         1.5889  0.4223    2.9078                   NaN                   NaN                 OK
session:2026-09-01  5  IV_surf_5    POOLED  410       1.0  0.3044    0.1063   2.8635   0.0042         2.8635  0.3550    2.3174                   NaN                   NaN                 OK
session:2026-09-03  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10  5  IV_surf_5    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth  5  IV_surf_5    POOLED 2389       6.0  0.1957    0.0476   4.1094   0.0093            NaN     NaN       NaN                1.0000                0.3333                 OK
session:2026-07-22 10 IV_surf_10    POOLED  395       1.0  0.2567    0.1037   2.4740   0.0134         2.4740 -0.0048   -0.0453                   NaN                   NaN                 OK
session:2026-07-30 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-03 10 IV_surf_10    POOLED 1246       1.0  0.3793    0.0897   4.2303   0.0000         4.2303  0.2913    4.1647                   NaN                   NaN                 OK
session:2026-08-07 10 IV_surf_10    POOLED 1294       1.0  0.2985    0.0560   5.3299   0.0000         5.3299  0.1053    2.0956                   NaN                   NaN                 OK
session:2026-08-13 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-17 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-19 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-20 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-21 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-28 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-31 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-01 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-03 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10 10 IV_surf_10    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth 10 IV_surf_10    POOLED 2935       3.0  0.3115    0.0360   8.6526   0.0131            NaN     NaN       NaN                1.0000                1.0000                 OK
session:2026-07-22 20 IV_surf_20    POOLED  395       1.0  0.1171    0.1482   0.7902   0.4294         0.7902  0.2074    1.3861                   NaN                   NaN                 OK
session:2026-07-30 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-03 20 IV_surf_20    POOLED 1243       1.0  0.1765    0.0688   2.5657   0.0103         2.5657  0.2285    4.1109                   NaN                   NaN                 OK
session:2026-08-07 20 IV_surf_20    POOLED 1293       1.0  0.2348    0.0513   4.5781   0.0000         4.5781  0.1841    3.3891                   NaN                   NaN                 OK
session:2026-08-13 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-17 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-19 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-20 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-21 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-28 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-31 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-01 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-03 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10 20 IV_surf_20    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth 20 IV_surf_20    POOLED 2931       3.0  0.1761    0.0340   5.1833   0.0353            NaN     NaN       NaN                1.0000                0.6667                 OK
session:2026-07-22  5    IV_pipe    POOLED  599       1.0  0.6791    0.2059   3.2980   0.0010         3.2980  0.6104    4.0318                   NaN                   NaN                 OK
session:2026-07-30  5    IV_pipe    POOLED  551       1.0  0.3601    0.0742   4.8505   0.0000         4.8505  0.2339    2.7334                   NaN                   NaN                 OK
session:2026-08-03  5    IV_pipe    POOLED  576       1.0  0.3972    0.0913   4.3509   0.0000         4.3509  0.1885    2.3915                   NaN                   NaN                 OK
session:2026-08-07  5    IV_pipe    POOLED  518       1.0  0.2969    0.0596   4.9840   0.0000         4.9840  0.1059    2.1727                   NaN                   NaN                 OK
session:2026-08-13  5    IV_pipe    POOLED  592       1.0  0.5470    0.0612   8.9387   0.0000         8.9387  0.0028    0.0789                   NaN                   NaN                 OK
session:2026-08-14  5    IV_pipe    POOLED  522       1.0  0.5938    0.0877   6.7742   0.0000         6.7742 -0.0442   -1.0268                   NaN                   NaN                 OK
session:2026-08-17  5    IV_pipe    POOLED  545       1.0  0.8859    0.1194   7.4213   0.0000         7.4213 -0.0103   -0.3284                   NaN                   NaN                 OK
session:2026-08-19  5    IV_pipe    POOLED  424       1.0  0.3841    0.0548   7.0111   0.0000         7.0111 -0.0094   -0.4999                   NaN                   NaN                 OK
session:2026-08-20  5    IV_pipe    POOLED  368       1.0  0.2227    0.0633   3.5163   0.0004         3.5163  0.0338    0.6889                   NaN                   NaN                 OK
session:2026-08-21  5    IV_pipe    POOLED  463       1.0  0.4110    0.0937   4.3869   0.0000         4.3869  0.1195    2.0095                   NaN                   NaN                 OK
session:2026-08-28  5    IV_pipe    POOLED  927       1.0  0.1081    0.1089   0.9928   0.3208         0.9928  0.3271    1.7324                   NaN                   NaN                 OK
session:2026-08-31  5    IV_pipe    POOLED  932       1.0  0.1284    0.1225   1.0486   0.2944         1.0486  0.4428    2.0127                   NaN                   NaN                 OK
session:2026-09-01  5    IV_pipe    POOLED 1045       1.0  0.3891    0.0788   4.9394   0.0000         4.9394  0.1083    1.4836                   NaN                   NaN                 OK
session:2026-09-03  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
